                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     93,               0.029959,               0.011884,              0.0042139,             0.00070993,                0.63315,                0.73802,                0.67765,                0.43336,                0.63794,                0.74414,                0.68139,                0.38065,               0.027888,               0.009385,              0.0052265,             0.00049388,                0.00724,                0.00724,                0.00724
                     94,               0.030841,               0.013679,              0.0045602,             0.00066905,                0.97241,                0.95598,                0.97184,                0.72866,                0.96358,                0.94709,                0.96607,                0.51837,                0.02146,              0.0063566,              0.0039553,             0.00040449,                0.00721,                0.00721,                0.00721
                     95,                0.03135,               0.016513,              0.0045336,             0.00063103,                 0.9693,                0.95413,                0.96943,                0.76261,                0.97275,                0.95719,                0.97348,                 0.6389,               0.019462,              0.0065642,              0.0038511,             0.00040207,                0.00718,                0.00718,                0.00718
                     96,               0.029327,               0.010736,              0.0043498,             0.00082352,                0.92542,                0.94289,                0.96038,                0.75181,                0.92886,                0.94595,                0.96594,                0.61836,                0.01928,              0.0068076,              0.0037517,             0.00036143,                0.00715,                0.00715,                0.00715
                     97,                0.02907,               0.011654,              0.0039655,             0.00077569,                0.96901,                0.95413,                0.96915,                0.65375,                0.97244,                0.95719,                 0.9741,                0.55503,               0.022052,              0.0076064,              0.0035732,             0.00037024,                0.00712,                0.00712,                0.00712
                     98,               0.031174,               0.014165,              0.0045049,             0.00069079,                0.96603,                0.95413,                0.96868,                0.78699,                 0.9298,                0.91719,                0.92949,                0.63892,               0.017598,              0.0061949,              0.0037238,             0.00037015,                0.00709,                0.00709,                0.00709
                     99,               0.029168,               0.012514,               0.003576,             0.00087904,                0.96143,                0.95009,                0.96531,                0.78451,                0.96484,                0.95314,                0.97117,                0.68021,                0.01871,              0.0066982,              0.0039477,             0.00039235,                0.00706,                0.00706,                0.00706
                    100,               0.030299,                  0.013,              0.0045499,             0.00068975,                0.93919,                0.90541,                0.93899,                0.66816,                0.93114,                0.89845,                0.92794,                0.63611,               0.023041,              0.0083305,              0.0040892,             0.00038768,                0.00703,                0.00703,                0.00703
                    101,               0.031502,               0.013008,              0.0045231,             0.00066356,                0.68191,                0.65912,                0.66508,                0.32383,                0.66965,                0.64885,                0.65038,                0.30733,                0.02935,               0.010982,              0.0063804,             0.00051207,                  0.007,                  0.007,                  0.007
                    102,               0.029484,               0.013262,              0.0043671,             0.00081942,                0.97124,                 0.9419,                0.95478,                0.74061,                0.86946,                0.83967,                0.81511,                0.60083,                0.01929,              0.0093331,              0.0037911,             0.00045037,                0.00697,                0.00697,                0.00697
                    103,               0.031139,               0.012978,              0.0043912,             0.00065445,                 0.8818,                0.68995,                0.81027,                0.55567,                0.88986,                0.69301,                0.80586,                0.56893,               0.025785,              0.0081944,              0.0046072,             0.00048834,                0.00694,                0.00694,                0.00694
